player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Dean Wade,CLE,29.0,1318.0,10.9,10.348,-0.552,Fall,28-30,Below replacement
Ben Sheppard,IND,24.0,1390.0,9.7,10.301,0.601,Rise,<=24,Below replacement
Svi Mykhailiuk,UTA,28.0,1156.0,11.4,10.237,-1.163,Fall,28-30,Below replacement
Kris Murray,POR,25.0,1333.0,9.6,10.212,0.612,Rise,25-27,Below replacement
Patrick Williams,CHI,24.0,1474.0,8.2,10.203,2.003,Rise,<=24,Below replacement
Spencer Jones,DEN,24.0,1417.0,9.3,10.137,0.837,Rise,<=24,Below replacement
Sion James,CHO,23.0,1843.0,8.3,10.095,1.795,Rise,<=24,Below replacement
A.J. Green,MIL,26.0,2270.0,9.4,9.834,0.434,Hold,25-27,Below replacement
Luguentz Dort,OKC,26.0,1849.0,8.3,9.748,1.448,Rise,25-27,Below replacement
Drake Powell,BRK,20.0,1320.0,7.3,9.434,2.134,Rise,<=24,Below replacement
Gary Trent Jr.,MIL,27.0,1377.0,8.0,9.404,1.404,Rise,25-27,Below replacement
Nicolas Batum,LAC,37.0,1295.0,8.4,7.781,-0.619,Fall,31+,Below replacement
